game_id,analyst,choosed
778,송영주,1.0
779,송영주,1.0
780,송영주,1.0
781,송영주,1.0
782,송영주,0.5
783,송영주,1.0
784,송영주,1.0
785,송영주,1.0
786,송영주,1.0
787,송영주,0.0
788,송영주,1.0
789,송영주,0.5
790,송영주,1.0
791,송영주,0.0
792,송영주,1.0
793,송영주,1.0
794,송영주,1.0
795,송영주,0.0
796,송영주,0.0
797,송영주,0.0
798,송영주,1.0
799,송영주,1.0
800,송영주,0.5
801,송영주,0.0
802,송영주,1.0
803,송영주,1.0
804,송영주,0.0
805,송영주,0.0
806,송영주,0.0
807,송영주,0.5
808,김현민,0.0
809,김현민,1.0
810,김현민,1.0
811,김현민,1.0
812,김현민,1.0
813,김현민,0.0
814,김현민,0.5
805,김현민,0.0
810,송영주,1.0
815,송영주,1.0
808,송영주,0.0
816,송영주,1.0
817,송영주,0.0
818,송영주,1.0
811,김현회,1.0
819,김현회,1.0
820,김현회,0.0
814,김현회,0.0
821,김현회,0.5
813,김현회,1.0
805,김현회,0.0
803,김현회,1.0
806,김현회,1.0
804,김현회,0.0
802,김현회,0.5
807,김현회,0.0
822,송영주,1.0
823,송영주,0.0
824,송영주,1.0
825,송영주,0.0
826,송영주,0.0
827,송영주,1.0
828,송영주,0.0
829,송영주,0.5
830,송영주,0.0
837,송영주,0.0
838,송영주,0.0
839,송영주,1.0
840,송영주,1.0
841,송영주,1.0
842,송영주,0.5
843,김현회,0.0
844,김현회,0.0
845,김현회,1.0
846,김현회,1.0
847,김현회,1.0
848,김현회,0.5
849,김현회,1.0
850,김현회,1.0
851,김현회,0.0
852,김현회,0.0
853,김현회,0.5
854,김현회,0.5
855,김현민,1.0
857,김현민,0.0
858,김현민,1.0
860,김현민,0.0
861,김현민,1.0
862,김현민,1.0
863,김현민,0.5
864,김현민,0.5
865,김현민,0.5
871,김현민,0.0
878,송영주,1.0
879,송영주,1.0
880,송영주,0.0
881,송영주,1.0
882,송영주,0.5
883,송영주,1.0
880,김현민,0.0
879,김현민,1.0
881,김현민,1.0
883,김현민,1.0
878,김현민,0.5
882,김현민,0.0
883,김현민,0.5
884,송영주,1.0
885,송영주,1.0
886,송영주,1.0
887,송영주,1.0
888,송영주,1.0
889,송영주,1.0
890,김현민,0.0
891,김현민,1.0
892,김현민,0.0
893,김현민,1.0
894,김현민,1.0
895,김현민,0.5
896,김현민,1.0
897,김현민,1.0
898,김현민,1.0
899,김현민,0.0
900,김현민,1.0
901,김현민,0.5
902,김현민,0.5
903,김현민,1.0
904,송영주,1.0
905,송영주,1.0
906,송영주,1.0
907,송영주,1.0
908,송영주,0.5
909,송영주,0.0
910,송영주,1.0
911,송영주,1.0
912,송영주,1.0
913,송영주,1.0
914,송영주,0.0
915,송영주,0.5
916,김현민,0.0
917,김현민,0.0
912,김현민,1.0
918,김현민,0.0
919,김현민,0.5
911,김현민,0.0
931,송영주,1.0
932,송영주,1.0
933,송영주,0.0
934,송영주,1.0
935,송영주,1.0
936,송영주,1.0
937,김현민,1.0
938,김현민,0.0
939,김현민,0.0
940,김현민,0.5
941,김현민,0.5
942,김현민,0.0
943,김현민,1.0
944,김현민,0.0
945,김현민,1.0
946,김현민,0.0
947,김현민,0.0
948,김현민,1.0
949,김현민,0.0
943,송영주,1.0
950,송영주,1.0
946,송영주,0.0
951,송영주,1.0
952,송영주,1.0
953,송영주,0.0
954,송영주,0.0
955,송영주,1.0
956,송영주,1.0
957,송영주,1.0
958,송영주,0.0
959,송영주,0.0
960,송영주,0.0
961,송영주,0.0
962,송영주,0.0
963,송영주,1.0
964,송영주,0.0
965,송영주,1.0
966,김현회,1.0
967,김현회,0.0
968,김현회,1.0
969,김현회,0.5
970,김현회,0.5
971,김현회,1.0
972,김현회,0.0
973,김현회,1.0
974,김현회,1.0
975,김현회,0.0
976,송영주,0.0
977,송영주,0.0
978,송영주,1.0
970,송영주,1.0
968,송영주,1.0
979,송영주,1.0
980,송영주,1.0
981,송영주,0.0
982,송영주,1.0
983,송영주,0.5
984,송영주,0.0
985,송영주,1.0
986,송영주,0.0
987,송영주,0.0
988,송영주,0.5
989,송영주,1.0
990,송영주,1.0
991,송영주,0.0
992,송영주,1.0
993,송영주,0.5
994,송영주,0.0
995,송영주,1.0
996,송영주,1.0
997,송영주,1.0
998,송영주,1.0
999,송영주,0.5
1000,송영주,1.0
1001,송영주,1.0
1002,송영주,1.0
1003,송영주,0.0
1004,송영주,1.0
1005,송영주,1.0
1006,송영주,1.0
1007,송영주,1.0
1008,송영주,1.0
1009,송영주,1.0
1010,송영주,1.0
1011,송영주,0.0
1012,송영주,0.5
1013,송영주,0.5
1014,송영주,0.0
1015,송영주,1.0
1016,송영주,1.0
1017,송영주,0.5
1018,송영주,0.5
1019,김현회,0.0
1020,김현회,1.0
1021,김현회,0.0
1022,김현회,0.0
1023,김현회,0.5
1024,김현회,0.5
1025,김현회,1.0
1026,김현회,1.0
1027,김현회,1.0
1028,김현회,1.0
1029,김현회,0.5
1030,김현회,1.0
1031,김현민,1.0
1032,김현민,1.0
1033,김현민,1.0
1034,김현민,0.5
1034,송영주,1.0
1032,송영주,1.0
1033,송영주,0.5
1035,송영주,1.0
1036,김현회,1.0
1037,김현회,1.0
1038,김현회,0.0
1039,김현회,0.0
1040,김현회,0.5
1041,김현회,1.0
1042,김현회,1.0
1043,김현회,1.0
1044,김현회,1.0
1045,김현회,0.5
1046,김현회,0.5
1047,김현회,1.0
1048,김현회,1.0
1049,김현회,0.0
1050,김현회,1.0
1051,김현회,0.5
1052,김현회,0.5
1053,김현회,0.0
1054,김현회,1.0
1055,김현회,1.0
1056,김현회,0.0
1057,김현회,0.5
1058,김현회,0.5
1065,송영주,1.0
1066,송영주,1.0
1069,송영주,0.5
1070,김현회,1.0
1071,김현회,1.0
1072,김현회,1.0
1073,김현회,0.0
1074,김현회,0.5
1075,김현회,0.0
1076,김현회,1.0
1077,김현회,1.0
1078,김현회,1.0
1079,김현회,0.5
1080,김현회,1.0
1081,김현민,1.0
1082,김현민,1.0
1083,김현민,0.0
1084,김현민,0.0
1085,김현민,1.0
1086,김현민,0.5
1087,김현민,1.0
1088,김현민,0.5
1089,김현회,1.0
1090,김현회,1.0
1091,김현회,1.0
1092,김현회,0.5
1093,김현회,0.0
1094,김현회,1.0
1095,김현회,1.0
1096,김현회,0.0
1097,김현회,0.0
1098,김현회,0.5
1099,김현회,0.0
1106,송영주,1.0
1107,송영주,1.0
1108,송영주,1.0
1109,송영주,1.0
1110,송영주,1.0
1111,송영주,1.0
1112,송영주,1.0
1113,송영주,1.0
1114,송영주,0.5
1115,송영주,0.0
1116,송영주,0.0
1117,송영주,1.0
1118,송영주,1.0
1119,송영주,1.0
1120,송영주,1.0
1121,송영주,0.5
1128,송영주,1.0
1135,송영주,1.0
1139,송영주,1.0
1140,송영주,0.0
1141,송영주,1.0
1142,송영주,1.0
1143,송영주,1.0
1144,송영주,0.0
1145,송영주,0.5
1146,김현회,1.0
1147,김현회,1.0
1148,김현회,0.0
1149,김현회,0.5
1150,김현회,0.5
1151,김현회,0.0
1159,송영주,1.0
1160,송영주,1.0
1161,송영주,1.0
1162,송영주,1.0
1163,송영주,1.0
1164,송영주,0.0
1165,송영주,0.0
1166,송영주,1.0
1167,송영주,0.0
1168,송영주,0.5
1169,송영주,0.5
1170,송영주,0.5
1171,김현회,0.0
1172,김현회,1.0
1173,김현회,0.0
1174,김현회,1.0
1175,김현회,0.5
1176,김현회,1.0
1177,송영주,1.0
1178,송영주,0.0
1179,송영주,1.0
1180,송영주,1.0
1181,송영주,0.5
1182,송영주,0.5
1183,송영주,1.0
1184,송영주,1.0
1185,송영주,1.0
1186,송영주,1.0
1187,송영주,0.5
1188,송영주,1.0
1189,송영주,0.0
1190,송영주,0.0
1191,송영주,0.0
